"_id","itemName","itemTypeID","selected","dateTimeLastUsed"
"1","Apples","2","0","1382412381880"
"2","Bacon","2","0","1382412381880"
"3","Baked Beans","2","0","1382412381880"
"4","Balsamic Vinegar","2","0","1382412381880"
"5","Bananas","2","0","1382412381880"
"6","Beer","2","0","1382412381880"
"7","Black Olives","2","0","1382412381880"
"8","Blue Cheese","2","0","1382412381880"
"9","Blueberries","2","0","1382412381880"
"10","Bread","2","0","1382412381880"
"11","Broccoli","2","0","1382412381880"
"12","Buns","2","0","1382412381880"
"13","Buttermilk","2","0","1382412381880"
"14","Carrots","2","0","1382412381880"
"15","Cereal","2","0","1382412381880"
"16","Cheese","2","0","1382412381880"
"17","Chicken","2","0","1382412381880"
"18","Chicken Broth","2","0","1382412381880"
"19","Cinnamon","2","0","1382412381880"
"20","Corn","2","0","1382412381880"
"21","Cottage Cheese","2","0","1382412381880"
"22","Cream Cheese","2","0","1382412381880"
"23","Distilled Water","2","1","1382412381880"
"24","Eggs","2","0","1382412381880"
"25","Garlic","2","0","1382412381880"
"26","Ground Beef","2","0","1382412381880"
"27","Hummus","2","0","1382412381880"
"28","Kleenex","2","0","1382412381880"
"29","Lemons","2","0","1382412381880"
"30","Limes","2","0","1382412381880"
"31","Manicotti Noodles","2","0","1382412381880"
"32","Mustard","2","0","1382412381880"
"33","Olive Oil","2","0","1382412381880"
"34","Parmesan Cheese","2","0","1382412381880"
"35","Peanut Butter","2","0","1382412381880"
"36","Pickles","2","0","1382412381880"
"37","Pineapple","2","0","1382412381880"
"38","Potatoes","2","0","1382412381880"
"39","Relish","2","0","1382412381880"
"40","Satsumas","2","0","1382412381880"
"41","Sour Cream","2","0","1382412381880"
"42","String Cheese","2","0","1382412381880"
"43","Toilet Paper","2","0","1382412381880"
"44","Tomatoes","2","0","1382412381880"
"45","Toothpaste","2","0","1382412381880"
"46","Tuna","2","0","1382412381880"
"47","Vanilla","2","0","1382412381880"
"48","Vinegar","2","0","1382412381880"
"49","Wine","2","0","1382412381880"
"50","Yogurt","2","0","1382412381880"
"51","Avocado","2","0","1382412381880"
"52","Buy Groceries","3","0","1382412381880"
"53","Pickup Laundry","3","0","1382412381880"
"54","Service The Car","3","1","1382412381880"
"55","Prepare For Meeting","3","1","1382412381880"
